,t0_rog,t0_entropy_step,t0_contact_locs,t0_known_locs,t0_wind_instensity,t0_prop_damaged_buildings,t0_rain_intensity,t0_dist2_DTMsites,t0_dist2_mainroads,t0_dist2_urbancentres,t0_popdensity3km_2015,t0_DTM_IDPpop,t1_contact_locs,t1_known_locs,t1_wind_instensity,t1_prop_damaged_buildings,t1_rain_intensity,t1_dist2_DTMsites,t1_dist2_mainroads,t1_dist2_urbancentres,t1_popdensity3km_2015,t1_DTM_IDPpop,t1_dist_to_hl,t2_contact_locs,t2_known_locs,t2_wind_instensity,t2_prop_damaged_buildings,t2_rain_intensity,t2_dist2_DTMsites,t2_dist2_mainroads,t2_dist2_urbancentres,t2_popdensity3km_2015,t2_DTM_IDPpop,t2_dist_to_hl,t3_contact_locs,t3_known_locs,t3_wind_instensity,t3_prop_damaged_buildings,t3_rain_intensity,t3_dist2_DTMsites,t3_dist2_mainroads,t3_dist2_urbancentres,t3_popdensity3km_2015,t3_DTM_IDPpop,t3_dist_to_hl
2414,low-medium,low-medium,some,most,high,low,high,near,high,medium-high,zero-low,zero-low,some,most,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium,some,most,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium
2415,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low
2416,zero-low,medium-high,most,most,high,low,medium,near,zero-low,medium-high,low-medium,zero-low,most,most,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,low-medium,most,most,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,zero-low,most,most,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,zero-low
2417,zero-low,high,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low
2418,low-medium,medium-high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium
2419,high,medium-high,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,some,some,high,low,medium,far,high,medium-high,zero-low,zero-low,high,some,some,high,low,medium,far,high,medium-high,zero-low,zero-low,high,some,some,high,low,high,near,high,medium-high,zero-low,zero-low,high
2420,high,low-medium,most,some,low,low,medium,no_sites,low-medium,low-medium,zero-low,zero-low,zero,some,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,medium-high,zero,some,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,medium-high,zero,some,low,low,medium,no_sites,zero-low,medium-high,low-medium,zero-low,medium-high
2421,low-medium,low-medium,some,most,medium,low,high,far,medium-high,zero-low,low-medium,zero-low,some,some,medium,low,high,near,medium-high,low-medium,zero-low,zero-low,medium-high,some,some,medium,low,high,near,zero-low,medium-high,low-medium,zero-low,medium-high,some,some,medium,low,high,near,high,zero-low,low-medium,zero-low,medium-high
2422,high,high,some,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,some,some,high,low,high,near,zero-low,low-medium,medium-high,low-medium,zero-low,some,some,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,high,zero,some,high,low,medium,near,medium-high,low-medium,low-medium,high,high
2423,medium-high,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero,some,high,low,high,far,high,medium-high,zero-low,zero-low,high,zero,some,high,low,high,far,high,medium-high,zero-low,zero-low,high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
2424,high,high,some,some,low,low,medium,no_sites,zero-low,medium-high,low-medium,zero-low,some,some,low,low,low,no_sites,medium-high,zero-low,low-medium,zero-low,high,some,some,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,high,zero,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium
2425,medium-high,zero-low,most,some,low,low,medium,no_sites,low-medium,low-medium,low-medium,zero-low,zero,some,low,low,low,no_sites,high,medium-high,low-medium,zero-low,high,zero,some,low,low,low,no_sites,high,medium-high,low-medium,zero-low,high,zero,zero,medium,low,low,no_sites,high,zero-low,low-medium,zero-low,high
2426,medium-high,high,some,some,low,low,medium,no_sites,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high
2427,zero-low,zero-low,most,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,most,most,high,low,high,near,low-medium,low-medium,medium-high,high,low-medium,most,most,high,low,high,near,medium-high,zero-low,medium-high,high,low-medium,most,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero-low
2428,low-medium,low-medium,zero,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,most,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high,zero,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,medium-high,zero,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high
2429,zero-low,zero-low,most,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,zero,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,high,zero,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high,zero,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high
2430,high,medium-high,some,some,medium,low,high,near,high,medium-high,zero-low,zero-low,some,some,medium,low,high,far,low-medium,medium-high,zero-low,zero-low,low-medium,some,some,high,low,high,near,low-medium,low-medium,low-medium,high,high,some,some,high,low,high,near,low-medium,low-medium,low-medium,high,high
2431,medium-high,zero-low,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,some,low,low,medium,no_sites,low-medium,low-medium,low-medium,zero-low,medium-high,some,some,low,low,medium,no_sites,low-medium,low-medium,low-medium,zero-low,medium-high,some,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low
2432,low-medium,low-medium,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero,some,medium,low,medium,no_sites,high,zero-low,medium-high,zero-low,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,zero,some,medium,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,high
2433,medium-high,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium
2434,medium-high,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero,some,medium,low,high,no_sites,medium-high,medium-high,zero-low,zero-low,medium-high,zero,zero,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,medium-high,zero,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,medium-high
2435,low-medium,zero-low,most,some,high,low,high,near,low-medium,medium-high,low-medium,zero-low,most,some,high,low,high,near,zero-low,medium-high,low-medium,zero-low,zero-low,zero,zero,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,high,zero,some,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,high
2436,medium-high,zero-low,some,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,some,some,medium,low,high,far,medium-high,medium-high,zero-low,zero-low,high,some,some,medium,low,high,far,medium-high,medium-high,zero-low,zero-low,high,zero,some,high,low,high,near,zero-low,medium-high,low-medium,zero-low,medium-high
2437,medium-high,low-medium,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,zero,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high,zero,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high,zero,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high
2438,low-medium,high,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,some,some,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,medium-high,some,some,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,medium-high,some,some,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,medium-high
2439,low-medium,low-medium,some,most,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium
2440,zero-low,medium-high,most,some,high,low,medium,near,medium-high,low-medium,low-medium,low-medium,most,some,high,low,medium,near,zero-low,low-medium,low-medium,high,low-medium,most,some,high,low,medium,near,medium-high,zero-low,low-medium,high,low-medium,some,some,high,low,medium,near,high,medium-high,zero-low,zero-low,low-medium
2441,zero-low,zero-low,most,most,high,low,high,near,high,low-medium,low-medium,low-medium,most,most,high,low,high,near,low-medium,low-medium,medium-high,high,low-medium,most,most,high,low,high,near,medium-high,low-medium,low-medium,high,low-medium,most,most,high,low,high,near,medium-high,low-medium,low-medium,high,zero-low
2442,medium-high,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,low-medium
2443,high,medium-high,some,some,high,low,medium,near,high,medium-high,zero-low,zero-low,some,some,high,low,medium,near,medium-high,zero-low,medium-high,high,medium-high,some,some,high,low,medium,near,medium-high,zero-low,low-medium,high,medium-high,some,some,high,low,medium,near,medium-high,zero-low,low-medium,high,medium-high
2444,medium-high,low-medium,some,some,high,low,medium,near,high,medium-high,zero-low,zero-low,some,some,high,low,medium,near,high,medium-high,zero-low,zero-low,medium-high,some,some,high,low,medium,near,high,medium-high,zero-low,zero-low,low-medium,some,some,high,low,medium,near,high,medium-high,zero-low,zero-low,low-medium
2445,low-medium,medium-high,some,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,some,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low
2446,high,high,some,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero,some,high,low,medium,far,medium-high,medium-high,zero-low,zero-low,high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,zero,some,high,low,medium,far,zero-low,medium-high,zero-low,zero-low,high
2447,medium-high,zero-low,some,some,medium,low,low,no_sites,zero-low,low-medium,medium-high,zero-low,some,some,medium,low,medium,no_sites,medium-high,low-medium,zero-low,zero-low,high,some,some,medium,low,medium,no_sites,medium-high,low-medium,zero-low,zero-low,medium-high,some,some,medium,low,medium,no_sites,zero-low,zero-low,low-medium,zero-low,medium-high
2448,high,high,most,some,medium,low,high,far,low-medium,zero-low,low-medium,zero-low,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,zero,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,high
2449,medium-high,low-medium,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,medium-high
2450,medium-high,zero-low,most,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero,some,high,low,high,near,low-medium,medium-high,low-medium,zero-low,high,some,some,high,low,high,near,high,medium-high,low-medium,zero-low,high,some,some,high,low,high,near,high,medium-high,low-medium,zero-low,high
2451,medium-high,high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,zero,some,medium,low,high,far,low-medium,low-medium,low-medium,zero-low,high,some,some,high,high,high,near,high,medium-high,zero-low,zero-low,high
2452,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium
2453,high,low-medium,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,some,some,medium,low,high,far,zero-low,low-medium,zero-low,zero-low,high,some,some,medium,low,high,far,zero-low,low-medium,zero-low,zero-low,high,some,some,medium,low,high,far,zero-low,medium-high,zero-low,zero-low,high
2454,low-medium,zero-low,most,some,medium,low,low,no_sites,zero-low,low-medium,low-medium,zero-low,zero,some,medium,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,zero,some,medium,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,medium-high,zero,some,medium,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,medium-high
2455,medium-high,medium-high,some,some,medium,low,high,far,high,medium-high,zero-low,zero-low,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high
2456,high,medium-high,some,some,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,some,some,medium,low,high,no_sites,zero-low,low-medium,medium-high,zero-low,high,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,some,some,medium,low,high,no_sites,zero-low,low-medium,medium-high,zero-low,medium-high
2457,medium-high,low-medium,most,some,high,low,high,near,low-medium,low-medium,low-medium,high,most,some,high,low,high,near,medium-high,zero-low,medium-high,high,zero-low,zero,some,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,high,most,some,high,low,high,near,medium-high,low-medium,low-medium,high,zero-low
2458,low-medium,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero,some,high,high,high,near,high,medium-high,low-medium,zero-low,high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,zero,some,high,high,high,near,high,medium-high,low-medium,zero-low,high
2459,low-medium,low-medium,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,zero,zero,medium,low,high,no_sites,high,medium-high,low-medium,zero-low,high
2460,medium-high,high,zero,most,medium,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero,most,medium,low,low,no_sites,zero-low,low-medium,low-medium,zero-low,medium-high,zero,most,medium,low,low,no_sites,zero-low,low-medium,low-medium,zero-low,medium-high,zero,most,medium,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,zero-low
2461,medium-high,high,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,some,most,low,low,medium,no_sites,high,low-medium,zero-low,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium
